0
"-{'Chapter Number': '1', 'Question Number': 1, 'Question Text': '1.1 Themes and Concepts of Biology'}-"
"-{'Chapter Number': '1', 'Question Number': 1, 'Question Text': '1.2 The Process of Science'}-"
"-{'Chapter Number': '1', 'Question Number': 1, 'Question Text': '1.Figure 1.8 Which of the following statements is false?'}-"
"-{'Chapter Number': '1', 'Question Number': 2, 'Question Text': '2.Figure 1.18 In the example below, the scientific method'}-"
"-{'Chapter Number': '1', 'Question Number': 1, 'Question Text': '1.My toaster doesn’t toast my bread.'}-"
"-{'Chapter Number': '1', 'Question Number': 2, 'Question Text': '2.Why doesn’t my toaster work?'}-"
"-{'Chapter Number': '1', 'Question Number': 3, 'Question Text': '3.There is something wrong with the electrical'}-"
"-{'Chapter Number': '1', 'Question Number': 4, 'Question Text': '4.If something is wrong with the outlet, my'}-"
"-{'Chapter Number': '1', 'Question Number': 5, 'Question Text': '5.I plug my coffeemaker into the outlet.'}-"
"-{'Chapter Number': '1', 'Question Number': 6, 'Question Text': '6.My coffeemaker works.Chapter 1 | Introduction to Biology 25REVIEW QUESTIONS'}-"
"-{'Chapter Number': '1', 'Question Number': 3, 'Question Text': '3.The smallest unit of biological structure that meets the'}-"
"-{'Chapter Number': '1', 'Question Number': 4, 'Question Text': '4.Which of the following sequences represents the'}-"
"-{'Chapter Number': '1', 'Question Number': 5, 'Question Text': '5.A suggested and testable explanation for an event is'}-"
"-{'Chapter Number': '1', 'Question Number': 6, 'Question Text': '6.The type of logical thinking that uses related'}-"
"-{'Chapter Number': '1', 'Question Number': 7, 'Question Text': '7.Using examples, explain how biology can be studied'}-"
"-{'Chapter Number': '2', 'Question Number': 1, 'Question Text': '1.Figure 2.3 How many neutrons do (K) potassium-39'}-"
"-{'Chapter Number': '2', 'Question Number': 2, 'Question Text': '2.Magnesium has an atomic number of 12. Which of the'}-"
"-{'Chapter Number': '2', 'Question Number': 3, 'Question Text': '3.Which type of bond represents a weak chemical bond?'}-"
"-{'Chapter Number': '2', 'Question Number': 4, 'Question Text': '4.An isotope of sodium (Na) has a mass number of 22.'}-"
"-{'Chapter Number': '2', 'Question Number': 5, 'Question Text': '5.Which of the following statements is not true?'}-"
"-{'Chapter Number': '2', 'Question Number': 6, 'Question Text': '6.Using a pH meter, you find the pH of an unknown'}-"
"-{'Chapter Number': '2', 'Question Number': 8, 'Question Text': '8.An example of a monosaccharide is ________.'}-"
"-{'Chapter Number': '2', 'Question Number': 9, 'Question Text': '9.Cellulose and starch are examples of ________.'}-"
"-{'Chapter Number': '2', 'Question Number': 1, 'Question Text': '10.Phospholipids are important components of'}-"
"-{'Chapter Number': '2', 'Question Number': 1, 'Question Text': '11.The monomers that make up proteins are called'}-"
"-{'Chapter Number': '2', 'Question Number': 1, 'Question Text': '12.Why are hydrogen bonds and van der Waals'}-"
"-{'Chapter Number': '2', 'Question Number': 1, 'Question Text': '13.Why can some insects walk on water?'}-"
"-{'Chapter Number': '2', 'Question Number': 1, 'Question Text': '14.Explain why water is an excellent solvent.15.Explain at least three functions that lipids serve in'}-"
"-{'Chapter Number': '2', 'Question Number': 1, 'Question Text': '16.Explain what happens if even one amino acid is'}-"
"-{'Chapter Number': '3', 'Question Number': 3, 'Question Text': '3.4 The Cell Membrane'}-"
"-{'Chapter Number': '3', 'Question Number': 3, 'Question Text': '3.5 Passive Transport'}-"
"-{'Chapter Number': '3', 'Question Number': 3, 'Question Text': '3.6 Active Transport'}-"
